2025-11-27 17:17:18.299233  |  [OK] MPHASIS      | TF:W
2025-11-27 17:17:18.689014  |  [OK] CROMPTON     | TF:M
2025-11-27 17:17:19.261752  |  [OK] MUTHOOTFIN   | TF:W
2025-11-27 17:17:19.607721  |  [OK] CUMMINSIND   | TF:M
2025-11-27 17:17:20.153298  |  [OK] NATIONALUM   | TF:W
2025-11-27 17:17:20.589197  |  [OK] CYIENT       | TF:M
2025-11-27 17:17:21.290691  |  [OK] NAUKRI       | TF:W
2025-11-27 17:17:21.604375  |  [OK] DABUR        | TF:M
2025-11-27 17:17:22.418562  |  [OK] NBCC         | TF:W
2025-11-27 17:17:22.705031  |  [OK] DALBHARAT    | TF:M
2025-11-27 17:17:22.916142  |  [OK] NCC          | TF:W
2025-11-27 17:17:23.240464  |  [OK] DELHIVERY    | TF:M
2025-11-27 17:17:23.719351  |  [OK] NESTLEIND    | TF:W
2025-11-27 17:17:24.122891  |  [OK] DIVISLAB     | TF:M
2025-11-27 17:17:24.724317  |  [OK] NMDC         | TF:W
2025-11-27 17:17:25.118237  |  [OK] DIXON        | TF:M
2025-11-27 17:17:25.833313  |  [OK] NTPC         | TF:W
2025-11-27 17:17:26.126353  |  [OK] DLF          | TF:M
2025-11-27 17:17:26.618925  |  [OK] NUVAMA       | TF:W
2025-11-27 17:17:27.208329  |  [OK] DMART        | TF:M
2025-11-27 17:17:27.621585  |  [OK] NYKAA        | TF:W
2025-11-27 17:17:28.163766  |  [OK] DRREDDY      | TF:M
2025-11-27 17:17:28.769203  |  [OK] OBEROIRLTY   | TF:W
2025-11-27 17:17:29.125311  |  [OK] EICHERMOT    | TF:M
2025-11-27 17:17:29.902659  |  [OK] OFSS         | TF:W
2025-11-27 17:17:30.182113  |  [OK] ETERNAL      | TF:M
2025-11-27 17:17:30.848914  |  [OK] OIL          | TF:W
2025-11-27 17:17:31.147513  |  [OK] EXIDEIND     | TF:M
2025-11-27 17:17:31.842900  |  [OK] ONGC         | TF:W
2025-11-27 17:17:32.164947  |  [OK] FEDERALBNK   | TF:M
2025-11-27 17:17:32.828872  |  [OK] PAGEIND      | TF:W
